Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P62191|PRS4_HUMAN	P62191	PRS4_HUMAN	PSMC1	440	Homo sapiens OX=9606	26S proteasome regulatory subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	15	15	15	     0	     0	     0	17C(57.0214), 3C(57.0214)		
sp|P62195|PRS8_HUMAN	P62195	PRS8_HUMAN	PSMC5	406	Homo sapiens OX=9606	26S proteasome regulatory subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	14	14	14	     0	     0	     0	18C(57.0214), 2M(15.9949), 3C(57.0214), N-term(42.0106)		
sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	Homo sapiens OX=9606	40S ribosomal protein S8 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	22	22	22	     0	     0	     0	12C(57.0214), 13C(57.0214), 15C(57.0214), 16C(57.0214), 2C(57.0214), 4C(57.0214)		
sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	Homo sapiens OX=9606	40S ribosomal protein S15a 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	3M(15.9949)		
sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	Homo sapiens OX=9606	40S ribosomal protein S16 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	15	15	15	     0	     0	     0			
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	Homo sapiens OX=9606	14-3-3 protein epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	26	26	26	     0	     0	     0	15M(15.9949), 3C(57.0214), 4C(57.0214), 4M(15.9949), 7M(15.9949), N-term(42.0106)		
sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	Homo sapiens OX=9606	40S ribosomal protein S14 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	14	14	14	     0	     0	     0	12M(15.9949)		
sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	Homo sapiens OX=9606	40S ribosomal protein S23 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0			
sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	Homo sapiens OX=9606	40S ribosomal protein S18 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	19	19	19	     0	     0	     0	N-term(42.0106)		
sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	Homo sapiens OX=9606	40S ribosomal protein S29 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	5M(15.9949), 6C(57.0214)		
sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	Homo sapiens OX=9606	40S ribosomal protein S13 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	8	7	8	     0	     0	     0			
sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	Homo sapiens OX=9606	40S ribosomal protein S11 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	18	18	18	     0	     0	     0	1C(57.0214), 2C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	Homo sapiens OX=9606	Small nuclear ribonucleoprotein E 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	2M(15.9949)		
sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0	N-term(42.0106)		
sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm6 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D2 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	2C(57.0214), 6C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	Homo sapiens OX=9606	Thymosin beta-4 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	14	14	14	     0	     0	     0	6M(15.9949), N-term(42.0106)		
sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	Homo sapiens OX=9606	ADP-ribosylation factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	Homo sapiens OX=9606	26S proteasome regulatory subunit 10B 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	21	21	21	     0	     0	     0	12M(15.9949), 2C(57.0214), 3C(57.0214), 5M(15.9949), 8M(15.9949), 9C(57.0214)		
sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	Homo sapiens OX=9606	60S ribosomal protein L7a 	1:Experimental evidence at protein level	1.0000	0.9990	20	20	20	27	27	27	     0	     0	     0	2C(57.0214), 3C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P62487|RPB7_HUMAN	P62487	RPB7_HUMAN	POLR2G	172	Homo sapiens OX=9606	DNA-directed RNA polymerase II subunit RPB7 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	17C(57.0214)		
sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	Homo sapiens OX=9606	Eukaryotic peptide chain release factor subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	10	10	10	     0	     0	     0	5C(57.0214), N-term(42.0106)		
sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	Homo sapiens OX=9606	CCHC-type zinc finger nucleic acid binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	16	16	16	     0	     0	     0	10C(57.0214), 11C(57.0214), 12C(57.0214), 13C(57.0214), 14C(57.0214), 18C(57.0214), 1C(57.0214), 21C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens OX=9606	40S ribosomal protein S4, X isoform 	1:Experimental evidence at protein level	1.0000	0.9990	14	4	14	20	9	20	     0	     0	     0	7C(57.0214), 8M(15.9949)		
sp|P62714|PP2AB_HUMAN	P62714	PP2AB_HUMAN	PPP2CB	309	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform 	1:Experimental evidence at protein level	1.0000	0.9990	14	3	14	16	4	16	     0	     0	     0	11C(57.0214), 12C(57.0214), 1C(57.0214), N-term(42.0106)		
sp|P62745|RHOB_HUMAN	P62745	RHOB_HUMAN	RHOB	196	Homo sapiens OX=9606	Rho-related GTP-binding protein RhoB 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	9C(57.0214)		
sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	Homo sapiens OX=9606	60S ribosomal protein L23a 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	12	12	12	     0	     0	     0			
sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	Homo sapiens OX=9606	40S ribosomal protein S6 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	16	16	16	     0	     0	     0	10C(57.0214), 12C(57.0214), 1M(15.9949)		
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C16	103	Homo sapiens OX=9606	Histone H4 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	30	30	30	     0	     0	     0	5M(15.9949), 6M(15.9949)		
sp|P62820|RAB1A_HUMAN	P62820	RAB1A_HUMAN	RAB1A	205	Homo sapiens OX=9606	Ras-related protein Rab-1A 	1:Experimental evidence at protein level	1.0000	0.9990	17	8	17	30	19	30	     0	     0	     0	10M(15.9949), 3M(15.9949), 7C(57.0214), N-term(42.0106)		
sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	Homo sapiens OX=9606	GTP-binding nuclear protein Ran 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	20	20	20	     0	     0	     0	10C(57.0214), 2C(57.0214), N-term(42.0106)		
sp|P62829|RL23_HUMAN	P62829	RL23_HUMAN	RPL23	140	Homo sapiens OX=9606	60S ribosomal protein L23 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	11	11	11	     0	     0	     0	13C(57.0214), 14M(15.9949), 2C(57.0214)		
sp|P62847|RS24_HUMAN	P62847	RS24_HUMAN	RPS24	133	Homo sapiens OX=9606	40S ribosomal protein S24 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	9	9	9	     0	     0	     0	2M(15.9949), 6M(15.9949), N-term(42.0106)		
sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	Homo sapiens OX=9606	40S ribosomal protein S25 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0	7C(57.0214)		
sp|P62854|RS26_HUMAN	P62854	RS26_HUMAN	RPS26	115	Homo sapiens OX=9606	40S ribosomal protein S26 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	4	2	4	     0	     0	     0	4C(57.0214), 7C(57.0214)		
sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	Homo sapiens OX=9606	40S ribosomal protein S28 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	12	12	12	     0	     0	     0	15M(15.9949), 4M(15.9949), 7C(57.0214)		
sp|P62861|RS30_HUMAN	P62861	RS30_HUMAN	FAU	133	Homo sapiens OX=9606	FAU ubiquitin-like and ribosomal protein S30 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0			
sp|P62873|GBB1_HUMAN	P62873	GBB1_HUMAN	GNB1	340	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	17	6	17	     0	     0	     0	11C(57.0214), 12C(57.0214), 2C(57.0214), 3C(57.0214), 4M(15.9949), 7C(57.0214), N-term(42.0106)		
sp|P62877|RBX1_HUMAN	P62877	RBX1_HUMAN	RBX1	108	Homo sapiens OX=9606	E3 ubiquitin-protein ligase RBX1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	3C(57.0214), N-term(42.0106)		
sp|P62879|GBB2_HUMAN	P62879	GBB2_HUMAN	GNB2	340	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	6	3	6	     0	     0	     0	11C(57.0214), 12C(57.0214), 2C(57.0214), 3C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|P62888|RL30_HUMAN	P62888	RL30_HUMAN	RPL30	115	Homo sapiens OX=9606	60S ribosomal protein L30 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	     0	     0	     0	10C(57.0214), 17C(57.0214), 2C(57.0214), 8C(57.0214)		
sp|P62899|RL31_HUMAN	P62899	RL31_HUMAN	RPL31	125	Homo sapiens OX=9606	60S ribosomal protein L31 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	2M(15.9949)		
sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	Homo sapiens OX=9606	60S ribosomal protein L10a 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	12	12	12	     0	     0	     0	12C(57.0214), 14M(15.9949), 4C(57.0214), 7M(15.9949)		
sp|P62910|RL32_HUMAN	P62910	RL32_HUMAN	RPL32	135	Homo sapiens OX=9606	60S ribosomal protein L32 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	     0	     0	     0	3C(57.0214), 5M(15.9949), 7M(15.9949)		
sp|P62913|RL11_HUMAN	P62913	RL11_HUMAN	RPL11	178	Homo sapiens OX=9606	60S ribosomal protein L11 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	16	14	16	     0	     0	     0	11M(15.9949), N-term(42.0106)		
sp|P62917|RL8_HUMAN	P62917	RL8_HUMAN	RPL8	257	Homo sapiens OX=9606	60S ribosomal protein L8 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	     0	     0	     0			
sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A 	1:Experimental evidence at protein level	1.0000	0.9990	14	12	14	42	35	42	     0	     0	     0	11M(15.9949), 24C(57.0214), 3M(15.9949), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7C(57.0214), 8C(57.0214), 9M(15.9949), N-term(42.0106)		
sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP1A 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	11	11	11	     0	     0	     0	12M(15.9949), 14M(15.9949), 2M(15.9949), 5C(57.0214)		
sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	Ubiquitin-40S ribosomal protein S27a 	1:Experimental evidence at protein level	1.0000	0.9990	13	5	13	28	8	28	     0	     0	     0	13M(15.9949), 1C(57.0214), 2C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P62993|GRB2_HUMAN	P62993	GRB2_HUMAN	GRB2	217	Homo sapiens OX=9606	Growth factor receptor-bound protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	3C(57.0214), 6C(57.0214), 9M(15.9949)		
sp|P62995|TRA2B_HUMAN	P62995	TRA2B_HUMAN	TRA2B	288	Homo sapiens OX=9606	Transformer-2 protein homolog beta 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	8	7	8	     0	     0	     0			
sp|P63000|RAC1_HUMAN	P63000	RAC1_HUMAN	RAC1	192	Homo sapiens OX=9606	Ras-related C3 botulinum toxin substrate 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	9	4	9	     0	     0	     0	1C(57.0214), 3C(57.0214), 4C(57.0214)		
sp|P63010|AP2B1_HUMAN	P63010	AP2B1_HUMAN	AP2B1	937	Homo sapiens OX=9606	AP-2 complex subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	32	14	32	37	17	37	     0	     0	     0	1C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P63092|GNAS2_HUMAN	P63092	GNAS2_HUMAN	GNAS	394	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	9	0	9	     0	     0	     0			sp|Q5JWF2|GNAS1_HUMAN
sp|P63096|GNAI1_HUMAN	P63096	GNAI1_HUMAN	GNAI1	354	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(i) subunit alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	4	3	4	     0	     0	     0	12C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|P63104|1433Z_HUMAN	P63104	1433Z_HUMAN	YWHAZ	245	Homo sapiens OX=9606	14-3-3 protein zeta/delta 	1:Experimental evidence at protein level	1.0000	0.9990	18	17	18	27	26	27	     0	     0	     0	11M(15.9949), 14C(57.0214), 16C(57.0214), 3C(57.0214), 4M(15.9949), 7C(57.0214), 8M(15.9949), N-term(42.0106)		
sp|P63151|2ABA_HUMAN	P63151	2ABA_HUMAN	PPP2R2A	447	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	8	7	8	     0	     0	     0	12C(57.0214), N-term(42.0106)		
sp|P63165|SUMO1_HUMAN	P63165	SUMO1_HUMAN	SUMO1	101	Homo sapiens	Small ubiquitin-related modifier 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	N-term(42.0106)		
sp|P63167|DYL1_HUMAN	P63167	DYL1_HUMAN	DYNLL1	89	Homo sapiens OX=9606	Dynein light chain 1, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	8	6	8	     0	     0	     0	15C(57.0214), 19C(57.0214), 4M(15.9949), 7C(57.0214), 8M(15.9949)		
sp|P63172|DYLT1_HUMAN	P63172	DYLT1_HUMAN	DYNLT1	113	Homo sapiens OX=9606	Dynein light chain Tctex-type 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	5C(57.0214)		
sp|P63173|RL38_HUMAN	P63173	RL38_HUMAN	RPL38	70	Homo sapiens OX=9606	60S ribosomal protein L38 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0			
sp|P63208|SKP1_HUMAN	P63208	SKP1_HUMAN	SKP1	163	Homo sapiens OX=9606	S-phase kinase-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	18C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|P63220|RS21_HUMAN	P63220	RS21_HUMAN	RPS21	83	Homo sapiens OX=9606	40S ribosomal protein S21 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	15	15	15	     0	     0	     0	1M(15.9949), 2M(15.9949), 5C(57.0214), 7M(15.9949), N-term(42.0106)		
sp|P63241|IF5A1_HUMAN	P63241	IF5A1_HUMAN	EIF5A	154	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5A-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	19	0	19	     0	     0	     0	11M(15.9949), 12M(15.9949), 19M(15.9949), 21C(57.0214), 5C(57.0214), 6C(57.0214), N-term(42.0106)		sp|Q6IS14|IF5AL_HUMAN
sp|P63244|RACK1_HUMAN	P63244	RACK1_HUMAN	RACK1	317	Homo sapiens OX=9606	Receptor of activated protein C kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	22	22	22	     0	     0	     0	13C(57.0214), 14C(57.0214), 22C(57.0214), 4M(15.9949), 6M(15.9949), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|P63261|ACTG_HUMAN	P63261	ACTG_HUMAN	ACTG1	375	Homo sapiens OX=9606	Actin, cytoplasmic 2 	1:Experimental evidence at protein level	1.0000	0.9990	34	1	34	122	16	122	     0	     0	     0	10M(15.9949), 12M(15.9949), 13M(15.9949), 14M(15.9949), 15M(15.9949), 16C(57.0214), 1C(57.0214), 1M(15.9949), 21M(15.9949), 27M(15.9949), 2C(57.0214), 4C(57.0214), 5M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P63272|SPT4H_HUMAN	P63272	SPT4H_HUMAN	SUPT4H1	117	Homo sapiens OX=9606	Transcription elongation factor SPT4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	2C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	SUMO-conjugating enzyme UBC9 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	7	7	7	     0	     0	     0	13C(57.0214), 1M(15.9949)		
sp|P63313|TYB10_HUMAN	P63313	TYB10_HUMAN	TMSB10	44	Homo sapiens OX=9606	Thymosin beta-10 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	18	18	18	     0	     0	     0	6M(15.9949), N-term(42.0106)		
sp|P67775|PP2AA_HUMAN	P67775	PP2AA_HUMAN	PPP2CA	309	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	12C(57.0214)		
sp|P67809|YBOX1_HUMAN	P67809	YBOX1_HUMAN	YBX1	324	Homo sapiens OX=9606	Y-box-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	7	13	19	12	19	     0	     0	     0	14M(15.9949)		
sp|P67870|CSK2B_HUMAN	P67870	CSK2B_HUMAN	CSNK2B	215	Homo sapiens OX=9606	Casein kinase II subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	     0	     0	     0	1C(57.0214), 21M(15.9949), 2M(15.9949), 3C(57.0214), 8M(15.9949), 9C(57.0214)		
sp|P67936|TPM4_HUMAN	P67936	TPM4_HUMAN	TPM4	248	Homo sapiens OX=9606	Tropomyosin alpha-4 chain 	1:Experimental evidence at protein level	1.0000	0.9990	24	13	24	27	13	27	     0	     0	     0	15M(15.9949), 1C(57.0214), N-term(42.0106)		
sp|P68032|ACTC_HUMAN	P68032	ACTC_HUMAN	ACTC1	377	Homo sapiens OX=9606	Actin, alpha cardiac muscle 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	11	0	11	     0	     0	     0	14M(15.9949)		sp|P68133|ACTS_HUMAN
sp|P68036|UB2L3_HUMAN	P68036	UB2L3_HUMAN	UBE2L3	154	Homo sapiens OX=9606	Ubiquitin-conjugating enzyme E2 L3 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	4	1	4	     0	     0	     0	4C(57.0214)		
sp|P68104|EF1A1_HUMAN	P68104	EF1A1_HUMAN	EEF1A1	462	Homo sapiens OX=9606	Elongation factor 1-alpha 1 	1:Experimental evidence at protein level	1.0000	0.9990	19	0	19	37	0	37	     0	     0	     0	10M(15.9949), 12M(15.9949), 15M(15.9949), 16C(57.0214), 2M(15.9949), 9M(15.9949)		
sp|P68366|TBA4A_HUMAN	P68366	TBA4A_HUMAN	TUBA4A	448	Homo sapiens OX=9606	Tubulin alpha-4A chain 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	19	6	19	     0	     0	     0	14C(57.0214), 15C(57.0214), 22M(15.9949), 3C(57.0214), 4M(15.9949), 9C(57.0214)		
sp|P68371|TBB4B_HUMAN	P68371	TBB4B_HUMAN	TUBB4B	445	Homo sapiens OX=9606	Tubulin beta-4B chain 	1:Experimental evidence at protein level	1.0000	0.9990	8	2	8	19	4	19	     0	     0	     0	10C(57.0214), 11M(15.9949), 12C(57.0214), 1M(15.9949)		
sp|P68400|CSK21_HUMAN	P68400	CSK21_HUMAN	CSNK2A1	391	Homo sapiens OX=9606	Casein kinase II subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	10	0	10	     0	     0	     0	5C(57.0214)		sp|Q8NEV1|CSK23_HUMAN
sp|P68431|H31_HUMAN	P68431	H31_HUMAN	H3C12	136	Homo sapiens OX=9606	Histone H3.1 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	10	0	10	     0	     0	     0	5M(15.9949)		sp|P84243|H33_HUMAN, sp|Q16695|H31T_HUMAN, sp|Q71DI3|H32_HUMAN
sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens	Hemoglobin subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
sp|P69849|NOMO3_HUMAN	P69849	NOMO3_HUMAN	NOMO3	1222	Homo sapiens OX=9606	Nodal modulator 3 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	18	0	18	     0	     0	     0	6C(57.0214)		sp|Q5JPE7|NOMO2_HUMAN
sp|P78310|CXAR_HUMAN	P78310	CXAR_HUMAN	CXADR	365	Homo sapiens OX=9606	Coxsackievirus and adenovirus receptor 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
sp|P78316|NOP14_HUMAN	P78316	NOP14_HUMAN	NOP14	857	Homo sapiens OX=9606	Nucleolar protein 14 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
sp|P78318|IGBP1_HUMAN	P78318	IGBP1_HUMAN	IGBP1	339	Homo sapiens OX=9606	Immunoglobulin-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	N-term(42.0106)		
sp|P78324|SHPS1_HUMAN	P78324	SHPS1_HUMAN	SIRPA	504	Homo sapiens OX=9606	Tyrosine-protein phosphatase non-receptor type substrate 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|Q5TFQ8|SIRBL_HUMAN
sp|P78330|SERB_HUMAN	P78330	SERB_HUMAN	PSPH	225	Homo sapiens OX=9606	Phosphoserine phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	2C(57.0214), N-term(42.0106)		
sp|P78344|IF4G2_HUMAN	P78344	IF4G2_HUMAN	EIF4G2	907	Homo sapiens OX=9606	Eukaryotic translation initiation factor 4 gamma 2 	1:Experimental evidence at protein level	1.0000	0.9990	24	24	24	26	26	26	     0	     0	     0	2C(57.0214), N-term(42.0106)		
sp|P78346|RPP30_HUMAN	P78346	RPP30_HUMAN	RPP30	268	Homo sapiens OX=9606	Ribonuclease P protein subunit p30 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	     0	     0	     0			
sp|P78347|GTF2I_HUMAN	P78347	GTF2I_HUMAN	GTF2I	998	Homo sapiens OX=9606	General transcription factor II-I 	1:Experimental evidence at protein level	1.0000	0.9990	20	19	20	24	22	24	     0	     0	     0	1C(57.0214), 2C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|P78362|SRPK2_HUMAN	P78362	SRPK2_HUMAN	SRPK2	688	Homo sapiens OX=9606	SRSF protein kinase 2 	1:Experimental evidence at protein level	1.0000	0.9986	2	2	2	3	3	3	     0	     0	     0			
sp|P78371|TCPB_HUMAN	P78371	TCPB_HUMAN	CCT2	535	Homo sapiens OX=9606	T-complex protein 1 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	30	30	30	     0	     0	     0	10M(15.9949), 12M(15.9949), 14M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6M(15.9949), 7C(57.0214), 8M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|P78406|RAE1L_HUMAN	P78406	RAE1L_HUMAN	RAE1	368	Homo sapiens OX=9606	mRNA export factor RAE1 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	11	11	     0	     0	     0	1C(57.0214), 3C(57.0214), 6C(57.0214)		
